"sample","site","CaO","SiO2","Al2O3"
"BDX14914","Mas de Moreno",17.17,51.16,20.66
"BDX14915","Mas de Moreno",16.98,50.8,19.51
"BDX14916","Mas de Moreno",20.71,48.09,19.68
"BDX14917","Mas de Moreno",17.17,51.34,20.89
"BDX14918","Mas de Moreno",17.33,51.1,20.69
"BDX14919","Mas de Moreno",19.46,49.44,20.14
"BDX14920","Mas de Moreno",16.52,51.66,21.09
"BDX14921","Mas de Moreno",16.5,51.9,20.97
"BDX14922","Mas de Moreno",21.32,48.31,19.7
"BDX14923","Mas de Moreno",16.51,51.42,20.85
"BDX14924","Mas de Moreno",16.78,51.66,20.85
"BDX14925","Mas de Moreno",16.66,51.33,20.84
"BDX14926","Mas de Moreno",19.63,49.39,19.35
"BDX15030","Mas de Moreno",19.33,50.61,19.93
"BDX15031","Mas de Moreno",20.62,49.91,19.37
"BDX15032","Mas de Moreno",13.92,53.68,19.69
"BDX15033","Mas de Moreno",15.15,53.45,19.22
"BDX15034","Mas de Moreno",17.58,51.62,19.04
"BDX15035","Mas de Moreno",15.16,52.94,19.21
"BDX15036","Mas de Moreno",15.87,50,19.99
"BDX15037","Mas de Moreno",16.38,49.64,21.14
"BDX15038","Mas de Moreno",15.15,52.72,19.97
"BDX15039","Mas de Moreno",15.92,51.85,19.71
"BDX15040","Mas de Moreno",14.7,54.09,20.65
"BDX15041","Mas de Moreno",16.11,50.56,20.38
"BDX15042","Mas de Moreno",14.14,54,20.45
"BDX15043","Mas de Moreno",14.39,52.94,20.19
"BDX15044","Mas de Moreno",17.5,52.22,18.1
"BDX15045","Mas de Moreno",19.14,52.34,16.76
"BDX15046","Mas de Moreno",16.47,51.38,19.85
"BDX15047","Mas de Moreno",16.67,50.32,21.62
"BDX15048","Mas de Moreno",14.38,52.19,22.3
"BDX15049","Mas de Moreno",14.16,52.34,22.58
"BDX15050","Mas de Moreno",14.59,52.36,21.54
"BDX15051","Mas de Moreno",15.89,51.69,20.81
"BDX15052","Mas de Moreno",14.73,53.83,20.47
"BDX15053","Mas de Moreno",14.6,53.52,20.75
"BDX15054","Mas de Moreno",14.34,50.41,21.31
"BDX15055","Mas de Moreno",15.63,51.78,21.44
"BDX15056","Mas de Moreno",15.39,52.42,21.14
"BDX15057","Mas de Moreno",16.01,51.25,21.46
"BDX15058","Mas de Moreno",15.92,51.98,20.06
"BDX15059","Mas de Moreno",13.05,54.64,21.56
"BDX15060","Mas de Moreno",16.54,49.38,20.55
"BDX15061","Mas de Moreno",15.14,52.39,19.41
"BDX15445","Mas de Moreno",16.43,50.15,19.82
"BDX15446","Mas de Moreno",19.83,49.35,19.53
"BDX15447","Mas de Moreno",13.42,54.3,20.45
"BDX15448","Mas de Moreno",15.68,52.04,21.01
"BDX15449","Mas de Moreno",17.48,50.81,20.57
"BDX15450","Mas de Moreno",16.92,51.69,20.86
"BDX15451","Mas de Moreno",20.37,49.07,19.39
"BDX15452","Mas de Moreno",16.53,51.68,20.92
"BDX15453","Mas de Moreno",17.35,51.16,20.27
"BDX15454","Mas de Moreno",15.18,52.68,21.59
"BDX15455","Mas de Moreno",17.58,50.5,20.37
"BDX15456","Mas de Moreno",15.36,52.94,19.81
"BDX15457","Mas de Moreno",15.92,50.69,21.56
"BDX15458","Mas de Moreno",11.63,53.68,20.16
"BDX15459","Mas de Moreno",15.6,51.62,21.57
"BDX15460","Mas de Moreno",17.1,50.45,20.35
"BDX15461","Mas de Moreno",16.23,51.53,19.81
"BDX15462","Mas de Moreno",16.03,51.34,20.66
"BDX15463","Mas de Moreno",16.41,51.28,20.58
"BDX15464","Mas de Moreno",16.84,51.39,20.09
"BDX15465","Mas de Moreno",17.08,50.16,19.63
"BDX15466","Mas de Moreno",15.35,52.1,19.85
"BDX15467","Mas de Moreno",14.06,52.37,20.27
"BDX15468","Mas de Moreno",17,52.12,20.2
"BDX15469","Mas de Moreno",13.21,54.39,22.29
"BDX15470","Mas de Moreno",15.55,51.62,20.66
"BDX15471","Mas de Moreno",17.38,50.86,20.19
"BDX15472","Mas de Moreno",16.56,51.46,20.37
"BDX15473","Mas de Moreno",16.25,51.87,19.45
"BDX15474","Mas de Moreno",14.57,51.7,20.87
"BDX15640","Mas de Moreno",16.94,50.04,20.16
"BDX15641","Mas de Moreno",16.93,52.48,19.51
"BDX15642","Mas de Moreno",18.64,50.55,19.54
"BDX15643","Mas de Moreno",19.5,49.45,19.79
"BDX15644","Mas de Moreno",18.3,50.68,19.3
"BDX15645","Mas de Moreno",15.21,51.16,21.71
