sample,inventory,date,laboratory,site,stratigraphy,artefact,part,decoration,LOI,CaO,Fe2O3,TiO2,K2O,SiO2,Al2O3,MgO,MnO,Na2O,P2O5,Zr,Sr,Rb,Zn,Cr,Ni,La,Ba,V,Ce,Y,Th,Pb,Cu
BDX15670,TCR.V.98.746,2013-02-19,ArAr (UMR 5138),"Torre Cremada (Valdeltormo, Teruel, Spain)",E11.84,unknown,body,1,16.00,22.6100,5.7200,0.5860,4.0200,46.8500,15.9700,3.2400,0.0354,0.5100,0.1400,148,607,127,80,60,44,0,336,103,68,23,5,15,26
BDX15671,TCR.V.98.606,2013-02-19,ArAr (UMR 5138),"Torre Cremada (Valdeltormo, Teruel, Spain)",E11.84,unknown,body,1,5.65,13.9800,6.1900,0.7170,3.4900,53.5300,18.9700,2.8900,0.0295,0.3800,0.1400,208,519,167,93,81,49,51,409,121,110,25,9,23,16
BDX15672,TCR.V.98.442,2013-02-19,ArAr (UMR 5138),"Torre Cremada (Valdeltormo, Teruel, Spain)",E11.87,unknown,body,1,6.59,13.1000,6.8100,0.6890,3.8700,53.4400,19.1500,2.8700,0.0289,0.3500,0.1400,191,691,190,97,80,40,35,388,118,97,26,8,19,15
BDX15673,TCR.V.98.628,2013-02-19,ArAr (UMR 5138),"Torre Cremada (Valdeltormo, Teruel, Spain)",E11.85,unknown,body,1,4.87,11.5200,4.9100,1.0150,2.6600,56.5800,19.7300,3.1500,0.0365,0.5200,0.1800,261,239,104,51,91,38,54,270,118,84,31,13,27,22
BDX15674,TCR.V.98.375,2013-02-19,ArAr (UMR 5138),"Torre Cremada (Valdeltormo, Teruel, Spain)",E11.86,unknown,rim,1,3.41,13.3100,5.1800,1.0850,1.9600,53.7600,22.1100,2.6500,0.0335,0.0500,0.1300,232,315,96,42,89,31,70,358,100,98,31,16,36,20
BDX15675,TCR.V.98.661,2013-02-19,ArAr (UMR 5138),"Torre Cremada (Valdeltormo, Teruel, Spain)",E11.84,unknown,rim,0,7.26,8.8300,6.0500,0.6420,5.4400,57.1800,16.0700,5.6500,0.0653,0.4100,0.1200,162,268,160,75,67,35,45,382,99,83,28,12,16,18
BDX15676,TCR.V.98.71,2013-02-19,ArAr (UMR 5138),"Torre Cremada (Valdeltormo, Teruel, Spain)",E11.60,storage jar,rim,0,7.70,14.8200,5.0200,0.9390,2.1800,53.2100,20.0200,3.7000,0.0409,0.3100,0.1500,219,339,95,51,73,31,40,380,108,118,29,13,26,22
BDX15677,TCR.V.98.5,2013-02-19,ArAr (UMR 5138),"Torre Cremada (Valdeltormo, Teruel, Spain)",E11.60,cup,rim,1,6.77,10.6000,4.5300,1.2020,2.3400,56.4000,22.2000,2.4000,0.0352,0.0000,0.1400,249,385,92,50,102,23,65,436,119,93,30,14,41,11
BDX15678,TCR.V.98.383,2013-02-19,ArAr (UMR 5138),"Torre Cremada (Valdeltormo, Teruel, Spain)",E11.60,unknown,rim,0,6.29,11.2300,6.0800,1.0880,1.8500,52.8700,22.5400,3.7800,0.0363,0.0000,0.1600,224,344,95,48,104,26,34,409,133,69,30,14,36,15
BDX15679,TCR.V.98.467,2013-02-19,ArAr (UMR 5138),"Torre Cremada (Valdeltormo, Teruel, Spain)",E11.60,storage jar,body,0,7.40,16.2400,4.9900,0.9380,2.0500,53.1000,19.9900,3.1100,0.0413,0.0000,0.1300,218,357,101,52,81,34,57,357,106,118,32,11,35,18
BDX15680,TCR.V.98.800,2013-02-20,ArAr (UMR 5138),"Torre Cremada (Valdeltormo, Teruel, Spain)",E9.75,storage jar,body,0,6.28,15.9900,5.5200,0.9790,1.8900,51.9200,21.0200,2.9200,0.0407,0.0800,0.1600,216,386,99,48,85,36,61,358,110,130,30,15,34,21
