sample,material,site,site_type,stratigraphy,phase,artefact,part,decoration,LOI
BDX14914,clay,Mas de Moreno,production,15312,2,unknown,rim,0,19.48
BDX14917,clay,Mas de Moreno,production,15312,2,kalathos,rim,0,18.76
BDX14918,clay,Mas de Moreno,production,15312,2,unknown,body,0,18.91
BDX14920,clay,Mas de Moreno,production,15312,2,unknown,body,0,18.52
BDX14921,clay,Mas de Moreno,production,15312,2,unknown,floor,0,18.32
BDX14922,clay,Mas de Moreno,production,15312,2,unknown,handle,0,20.69
BDX14924,clay,Mas de Moreno,production,15312,2,unknown,body,0,18.64
BDX14925,clay,Mas de Moreno,production,15312,2,unknown,body,0,18.53
BDX14926,clay,Mas de Moreno,production,15312,2,unknown,body,0,19.92
BDX15030,clay,Mas de Moreno,production,15205,2,loom weight,body,0,19.99
BDX15031,clay,Mas de Moreno,production,15205,2,loom weight,body,0,20.59
BDX15032,ceramic,Mas de Moreno,production,12212,1,storage jar,rim,0,13.15
BDX15033,ceramic,Mas de Moreno,production,12212,1,storage jar,rim,0,14.87
BDX15034,ceramic,Mas de Moreno,production,12212,1,storage jar,body,0,13.31
BDX15035,ceramic,Mas de Moreno,production,12212,1,storage jar,body,0,12.98
BDX15036,ceramic,Mas de Moreno,production,12212,1,storage jar,rim,0,13.76
BDX15037,ceramic,Mas de Moreno,production,12212,1,storage jar,rim,0,6.76
BDX15038,ceramic,Mas de Moreno,production,12212,1,jar,rim,0,7.78
BDX15040,ceramic,Mas de Moreno,production,12212,1,lid,rim,1,14.78
BDX15041,ceramic,Mas de Moreno,production,12212,1,storage jar,body,1,11.35
BDX15042,ceramic,Mas de Moreno,production,12212,1,lid,rim,1,14.40
BDX15043,ceramic,Mas de Moreno,production,12212,1,lid,rim,1,14.79
BDX15044,ceramic,Mas de Moreno,production,12212,1,loom weight,body,0,10.93
BDX15045,ceramic,Mas de Moreno,production,12212,1,loom weight,body,0,10.80
BDX15053,ceramic,Mas de Moreno,production,12212,1,cup,rim,0,8.89
BDX15054,ceramic,Mas de Moreno,production,12212,1,urn,rim,0,NA
BDX15445,ceramic,Mas de Moreno,production,15205,2,loom weight,body,0,5.57
BDX15446,ceramic,Mas de Moreno,production,15205,2,storage jar,rim,0,13.96
BDX15448,ceramic,Mas de Moreno,production,15205,2,storage jar,rim,0,13.54
BDX15449,ceramic,Mas de Moreno,production,15205,2,storage jar,fond,0,12.03
BDX15450,ceramic,Mas de Moreno,production,15205,2,pot,rim,0,6.83
BDX15451,ceramic,Mas de Moreno,production,15205,2,pot,body,1,9.41
BDX15452,ceramic,Mas de Moreno,production,15205,2,plate,rim,1,8.11
BDX15453,ceramic,Mas de Moreno,production,15205,2,lid,rim,1,7.17
BDX15457,ceramic,Mas de Moreno,production,15205,2,cup,rim,1,5.81
BDX15461,ceramic,Mas de Moreno,production,15227,2,storage jar,rim,1,9.86
BDX15464,ceramic,Mas de Moreno,production,15227,2,pot,rim,1,5.10
